Sys_ID,Name,latitude,longitude,in_legal_delta_boundary
CA2700503,ASSISI MWC,36.76132230407252,-121.66304999225949,FALSE
CA2700509,OAK MANOR WS,36.807613081156305,-121.6442801199095,FALSE
CA2700522,CABANA HOLIDAY WS,36.791543696139435,-121.67124511373694,FALSE
CA2700523,CALERA CANYON HEIGHTS HOA,36.544501552543345,-121.73285949957551,FALSE
CA2700534,COLONIAL OAK WC,36.819949716626965,-121.64111878212077,FALSE
CA2700535,JOST POST WA,36.52730083832989,-121.69279556352271,FALSE
CA2700536,CORRAL DE TIERRA ESTATES WC,36.569089540221874,-121.72942627727672,FALSE
CA2700541,DEL MONTE FARMS RD WS #03,36.79098711997123,-121.69858850921716,FALSE
CA2700547,DESMOND RD WS #03,36.80395871283219,-121.7009033303677,FALSE
CA2700548,DOLAN RD MWC,36.79560086318941,-121.73787903047464,FALSE
CA2700552,ECHO VALLEY SCHOOL WS,36.825720425048615,-121.66673358698004,FALSE
CA2700577,ELKHORN SCHOOL WS,36.79638694798011,-121.71823028074098,FALSE
CA2700579,ELKHORN RD WS #04,36.83523035659211,-121.7293776727584,FALSE
CA2700586,GABILAN WC,36.754673303472636,-121.6178605052616,FALSE
CA2700589,GLENN AVE WS #01,36.82748811703278,-121.66183075748428,FALSE
CA2700594,HIDDEN VALLEY WA,36.83733314732848,-121.70366906875574,FALSE
CA2700606,HIDDEN VIEWS MHP WS,36.04510914330476,-121.1770332300163,FALSE
CA2700612,LAGUNA SECA WC,36.56694511340504,-121.74965745162497,FALSE
CA2700622,OUTLOOK WA,36.55044487890867,-121.74792551079977,FALSE
CA2700624,LEAFWOOD COMMUNITY WA,36.80987737780288,-121.70664306286524,FALSE
CA2700629,MANZANITA HILLS WA,36.88195507661191,-121.69155339869715,FALSE
CA2700634,CHETMOORE ACRES WA,36.84633366848574,-121.67480527417946,FALSE
CA2700638,MAHER RD WS #05,36.84039972091234,-121.67608416701675,FALSE
CA2700656,MORO COJO MWA,36.81395276212885,-121.64184981296323,FALSE
CA2700663,MURPHY HILL WS #02,36.90429278436471,-121.65779093500942,FALSE
CA2700665,OAK HEIGHTS W & R CO INC,36.81929976000352,-121.63668324913876,FALSE
CA2700669,ORCHARD LN WS #02,36.77477852408552,-121.66524213578786,FALSE
