"","System_ID","system_lat","system_lon","county","cvp_loop"
"1","CA0110016",37.78426492,-122.3107152,"Alameda","Yes"
"2","CA1610002",36.01484187,-120.1144992,"Kings","Yes"
"3","CA1600023",36.18019584,-119.958972,"Kings","Yes"
"4","CA4510014",40.62048725,-122.2796057,"Shasta","Yes"
"5","CA4510014",40.62048725,-122.2796057,"Shasta","Yes"
"6","CA4400526",37.11431532,-121.9846683,"Santa Cruz","Yes"
"7","CA4300978",37.16693351,-121.9955426,"Santa Clara","Yes"
"8","CA3410031",38.71628387,-121.3829763,"Sacramento","Yes"
"9","CA3410013",38.69382191,-121.3182968,"Sacramento","Yes"
"10","CA3410017",38.47817034,-121.410076,"Sacramento","Yes"
"11","CA3410010",38.55544192,-121.3406016,"Sacramento","Yes"
"12","CA3910001",37.95636535,-121.2802951,"San Joaquin","Yes"
"13","CA1009232",36.56102759,-120.3932375,"Fresno","Yes"
"14","CA0710011",37.9798989,-121.734343,"Contra Costa","Yes"
"15","CA3910803",37.8948001,-121.1941073,"San Joaquin","Yes"
"16","CA4510011",40.53143201,-122.4727119,"Shasta","Yes"
"17","CA3410006",38.6940315,-121.2703805,"Sacramento","Yes"
"18","CA0710001",37.97981055,-121.7965965,"Contra Costa","Yes"
"19","CA4310018",37.32281595,-122.0661797,"Santa Clara","Yes"
"20","CA5710001",38.55414414,-121.7332599,"Yolo","Yes"
"21","CA2410002",36.97911309,-120.6252829,"Merced","Yes"
"22","CA1010007",36.77470236,-119.7837044,"Fresno","Yes"
"23","CA0710006",37.99612361,-122.1218261,"Contra Costa","Yes"
"24","CA4310005",37.43357581,-121.892137,"Santa Clara","Yes"
"25","CA4310007",37.40106648,-122.079506,"Santa Clara","Yes"
"26","CA1010023",36.62132193,-119.3185848,"Fresno","Yes"
"27","CA0710008",38.01898107,-121.8968998,"Contra Costa","Yes"
"28","CA4510005",40.57448676,-122.3755376,"Shasta","Yes"
"29","CA3110008",38.76159173,-121.291607,"Placer","Yes"
"30","CA3110008",38.76159173,-121.291607,"Placer","Yes"
"31","CA4310020",37.26842469,-121.7650003,"Santa Clara","Yes"
"32","CA4310012",37.36450027,-121.9680254,"Santa Clara","Yes"
"33","CA4510006",40.67891681,-122.3775301,"Shasta","Yes"
"34","CA4510006",40.67891681,-122.3775301,"Shasta","Yes"
"35","CA4510006",40.67891681,-122.3775301,"Shasta","Yes"
"36","CA4510006",40.67891681,-122.3775301,"Shasta","Yes"
"37","CA3910012",37.99351091,-121.3193873,"San Joaquin","Yes"
"38","CA4310014",37.37762936,-122.0233061,"Santa Clara","Yes"
"39","CA5710003",38.55558581,-121.5494918,"Yolo","Yes"
"40","CA5710006",38.67102542,-121.7479673,"Yolo","Yes"
"41","CA0707603",37.89411983,-121.7933196,"Contra Costa","Yes"
"42","CA4510016",40.46064974,-122.4234268,"Shasta","Yes"
"43","CA1010004",36.1476819,-120.3535934,"Fresno","Yes"
"44","CA0710003",37.95794678,-121.8965605,"Contra Costa","Yes"
"45","CA3500006",36.79811742,-121.3253548,"San Benito","Yes"
"46","CA4310001",37.35649093,-122.0812055,"Santa Clara","Yes"
"47","CA0710007",37.99278668,-121.69553,"Contra Costa","Yes"
"48","CA0110005",37.84424195,-122.1922496,"Alameda","Yes"
"49","CA0910001",38.71028493,-120.8639335,"El Dorado","Yes"
"50","CA1100616",39.59853328,-122.5409161,"Glenn","Yes"
"51","CA3410009",38.65352369,-121.2496606,"Sacramento","Yes"
"52","CA1000019",36.50207342,-120.3906521,"Fresno","Yes"
"53","CA1000359",36.50222481,-120.3244555,"Fresno","Yes"
"54","CA1000484",36.97628062,-119.6483146,"Fresno","Yes"
"55","CA1000546",36.39532643,-120.1459456,"Fresno","Yes"
"56","CA1010051",36.985038,-119.7154857,"Fresno","Yes"
"57","CA3410032",38.69457303,-121.1565949,"Sacramento","Yes"
"58","CA3410030",38.69935035,-121.1735847,"Sacramento","Yes"
"59","CA3410014",38.6439268,-121.1549122,"Sacramento","Yes"
"60","CA0710002",38.02903336,-121.9590112,"Contra Costa","Yes"
"61","CA1009027",36.3438689,-120.2138974,"Fresno","Yes"
"62","CA1009028",36.29914118,-120.2104046,"Fresno","Yes"
"63","CA1000213",36.34397123,-120.2894649,"Fresno","Yes"
"64","CA1009078",36.30438135,-120.2624234,"Fresno","Yes"
"65","CA3510001",36.86172709,-121.4058304,"San Benito","Yes"
"66","CA1010044",36.20419834,-120.0959528,"Fresno","Yes"
