system_name,System_ID,NOTE: These are systems we have identified as either being directly served by the SWP or receiving water from another system/entity that receives SWP water. In the latter case we cannot be sure the water they receive is SWP water. 
ALAMEDA COUNTY WATER DISTRICT,CA0110001,
ALPINE WATER USERS ASSOCIATION,CA3610002,
"AMERICAN CANYON, CITY OF",CA2810005,
"AMERICAN WATER O&M, LLC - VSFB",CA4210700,
ANTELOPE VALLEY E KERN WTR AGY-ROSAMOND,CA1510053,
ANTELOPE VALLEY EAST KERN WATER AGENCY,CA1910045,
ARROWHEAD VILLAS MUTUAL SERVICE COMPANY,CA3610093,
AVILA BEACH COMMUNITY SERVICES DISTRICT,CA4000222,
AVILA VALLEY MUTUAL WATER CO,CA4000716,
"BAKERSFIELD, CITY OF",CA1510031,
BELLFLOWER HOME GARDEN WATER COMPANY,CA1910012,
BELLFLOWER MUNICIPAL WATER SYSTEM,CA1910018,
"BEVERLY HILLS-CITY, WATER DEPT.",CA1910156,
BIG REDWOOD PARK WATER,CA4400526,
BORON CSD,CA1510002,
BOX SPRINGS MUTUAL WC,CA3310004,
BRANDEIS BARDIN INSTITUTE,CA5603301,
BRITZ/COLUSA,CA1009023,
BRITZ/FIVE POINT SYSTEM,CA1009179,
BRUSH AND OLD WELL MUTUAL WATER COMPANY,CA4300978,
"BURBANK-CITY, WATER DEPT.",CA1910179,
CAL AMERICAN WATER CO,CA5610040,
CAL AMERICAN WC - LAS POSAS ESTATES,CA5610081,
CAL-AM WATER CORONADO,CA3710001,
CAL-WATER SERVICE CO.-OROVILLE,CA0410005,
CAL/AM WATER COMPANY - BALDWIN HILLS,CA1910052,
CAL/AM WATER COMPANY - SAN MARINO,CA1910139,
CALIF STATE POLYTECHNICAL UNIV - POMONA,CA1910022,
CALIFORNIA MENS COLONY,CA4010830,
CALIFORNIA REHABILITATION CENTER - NORCO,CA3310800,
CALIFORNIA STATE PRISON - SOLANO,CA4810800,
CALIFORNIA WATER SERVICE - LIVERMORE,CA0110003,
CALIFORNIA WATER SERVICE CO - WESTLAKE,CA5610016,
CALIFORNIA WATER SERVICE CO-LEONA VALLEY,CA1910243,
CALIFORNIA WATER SERVICE CO. - DOMINGUEZ,CA1910033,
CALIFORNIA WATER SERVICE CO. - ELA,CA1910036,
CALIFORNIA WATER SERVICE CO. - HERM/REDO,CA1910134,
CALIFORNIA WATER SERVICE CO. - PALOS VER,CA1910104,
CALIFORNIA WATER SERVICE CO.-LANCASTER,CA1910010,
CALIFORNIA WATER SERVICE CO.-TRAVIS AFB,CA4810701,
"CALISTOGA, CITY OF",CA2810002,
CALLEGUAS MUNICIPAL WATER DIST,CA5610050,
CAMARILLO WATER DEPT,CA5610019,
CAMP PENDLETON (SOUTH),CA3710702,
CAMROSA WATER DISTRICT,CA5610063,
CANYON CREST MUTUAL BENEFIT WC,CA4000230,
CARLSBAD MWD,CA3710005,
CARPINTERIA VALLEY WATER DISTRICT,CA4210001,
CEDARPINES PARK MWC,CA3610011,
CENTRAL BASIN MUNICIPAL WATER DISTRICT,CA1995000,
CENTRAL COAST WATER AUTHORITY,CA4210030,
"CERRITOS - CITY, WATER DEPT.",CA1910019,
CHANNEL ISLANDS BEACH CSD,CA5610039,
"CHINO HILLS, CITY OF",CA3610036,
"CHINO, CITY OF",CA3610012,
CHIRIACO SUMMIT WATER DIST.,CA3301115,
CHORRO VALLEY PIPELINE - SLO COUNTY,CA4010030,
CITY OF ALHAMBRA,CA1910001,
CITY OF ANAHEIM,CA3010001,
CITY OF ARROYO GRANDE UTILITIES DIVISION,CA4010001,
CITY OF BELL GARDENS,CA1910108,
CITY OF BENICIA,CA4810001,
CITY OF BREA,CA3010002,
CITY OF BUELLTON WATER DIVISION,CA4210018,
CITY OF CUPERTINO,CA4310018,
CITY OF FAIRFIELD,CA4810003,
CITY OF FULLERTON,CA3010010,
CITY OF GARDEN GROVE,CA3010062,
CITY OF GROVER BEACH PUBLIC WORKS DEPT,CA4010004,
CITY OF LA HABRA,CA3010018,
CITY OF LA PALMA,CA3010100,
CITY OF LIVERMORE,CA0110011,
CITY OF MILPITAS,CA4310005,
CITY OF MOUNTAIN VIEW,CA4310007,
CITY OF ORANGE,CA3010027,
CITY OF PLEASANTON,CA0110008,
CITY OF PORTOLA,CA3210003,
CITY OF SAN CLEMENTE,CA3010036,
CITY OF SAN JOSE - EVG/EDV/COY,CA4310020,
CITY OF SANTA ANA,CA3010038,
CITY OF SANTA BARBARA WATER DEPARTMENT,CA4210010,
CITY OF SANTA CLARA,CA4310012,
CITY OF SANTA MARIA UTILITIES DEPARTMENT,CA4210011,
CITY OF SOUTH PASADENA,CA1910154,
CITY OF SUNNYVALE,CA4310014,
CITY OF THOUSAND OAKS WATER DEPARTMENT,CA5610020,
CITY OF TUSTIN,CA3010046,
CITY OF VACAVILLE,CA4810008,
CITY OF VALLEJO,CA4810007,
CITY OF VALLEJO-LAKES SYSTEM,CA4810021,
CITY OF YUBA CITY,CA5110002,
CLAWA,CA3610114,
"COMMERCE-CITY, WATER DEPT.",CA1910050,
"CORONA, CITY OF",CA3310037,
"COVINA-CITY, WATER DEPT.",CA1910127,
CRESCENTA VALLEY CWD,CA1910028,
CRESTLINE VILLAGE CWD - DIVISION 10,CA3610015,
CRESTVIEW MUTUAL WATER CO,CA5610058,
CUCAMONGA VALLEY WATER DISTRICT,CA3610018,
CWS - BAKERSFIELD,CA1510003,
CWS - NORTH GARDEN,CA1510055,
CWSC LOS ALTOS SUBURBAN,CA4310001,
DEER LODGE WATER SYSTEM,CA3600087,
"DEL MAR, CITY OF",CA3710004,
DEL ORO WATER CO.-LIME SADDLE MARINA,CA0405001,
DESERT LAKE COMM SERV DIST,CA1510027,
DUBLIN SAN RAMON SERVICES DISTRICT,CA0110009,
EAST NILES CSD,CA1510006,
EAST VALLEY WATER DISTRICT,CA3610064,
EASTERN MUNICIPAL WD,CA3310009,
EDWARDS AFB - MAIN BASE,CA1510701,
EL DORADO MUTUAL WATER CO.,CA1900803,
"EL SEGUNDO-CITY, WATER DEPT.",CA1910040,
EL TORO WATER DISTRICT,CA3010079,
ELSINORE VALLEY MWD,CA3310012,
"ESCONDIDO, CITY OF",CA3710006,
FALLBROOK PUD,CA3710008,
FARM MUTUAL W.C. (THE),CA3310046,
FOOTHILL MUNICIPAL WATER DIST.,CA1910032,
GLEN EDEN SUN CLUB,CA3301283,
GLEN IVY HOT SPRINGS,CA3301294,
"GLENDALE-CITY, WATER DEPT.",CA1910043,
GOLDEN STATE WATER COMPANY - ORCUTT,CA4210016,
GOLDEN STATE WATER COMPANY - SIMI VALLEY,CA5610059,
GOLDEN STATE WATER COMPANY - TANGLEWOOD,CA4210021,
GOLDEN STATE WC - COWAN HEIGHTS,CA3010047,
GOLDEN STATE WC - PLACENTIA/YORBA LINDA,CA3010035,
GREEN VALLEY MWC,CA3610023,
GSWC - ARTESIA,CA1910004,
"GSWC - BELL, BELL GARDENS",CA1910011,
GSWC - CLAREMONT,CA1910024,
GSWC - CULVER CITY,CA1910030,
GSWC - FLORENCE/GRAHAM,CA1910077,
GSWC - NORWALK,CA1910098,
GSWC - SOUTHWEST,CA1910155,
GSWC - WILLOWBROOK,CA1910072,
GSWC-SAN DIMAS,CA1910142,
GUADALUPE WATER DEPARTMENT,CA4210003,
HAWTHORNE-CITY WATER DEPT.,CA1910047,
HELIX WATER DISTRICT,CA3710010,
"HEMET, CITY OF",CA3310016,
HOME GARDENS COUNTY WD,CA3310018,
"HUNTINGTON PARK-CITY, WATER DEPT.",CA1910049,
"INGLEWOOD- CITY, WATER DEPT.",CA1910051,
INLAND EMPIRE UTILITIES AGENCY,CA3690001,
IRVINE RANCH WATER DISTRICT,CA3010092,
JOINT REGIONAL WATER SUPPLY SYSTEM,CA3010071,
KENNON WATER COMPANY,CA4300521,
KERN COUNTY WATER AGENCY,CA1510040,
KETTLEMAN CITY CSD,CA1610009,
LA CANADA IRRIGATION DIST.,CA1910054,
LA CUMBRE MUTUAL WATER CO,CA4210024,
LA HABRA HEIGHTS CWD,CA1910218,
"LA VERNE, CITY WD",CA1910062,
LACSD - RIMFOREST,CA3610045,
LAGUNA BEACH COUNTY WD,CA3010017,
LAKE ARROWHEAD CSD,CA3610005,
LAKE ELIZABETH MUTUAL WATER CO.,CA1910056,
LAKESIDE WD,CA3710013,
"LAKEWOOD - CITY, WATER DEPT.",CA1910239,
LANDALE MUTUAL WATER COMPANY,CA1900809,
LAS FLORES WATER CO.,CA1910061,
LAS VIRGENES MWD,CA1910225,
LIBERTY UTILITIES - BELLFLOWER-NORWALK,CA1910211,
LIBERTY UTILITIES - COMPTON,CA1910021,
LIBERTY UTILITIES - LYNWOOD,CA1910161,
LIBERTY UTILITIES - MESA CREST,CA1910241,
LINCOLN AVENUE WATER CO.,CA1910063,
LITTLEROCK CREEK IRRIGATION DIST.,CA1910064,
"LOMITA-CITY, WATER DEPT.",CA1910073,
LONG BEACH UTILITIES DEPARTMENT,CA1910065,
LOPEZ PROJECT,CA4010022,
LOS ANGELES CWWD 21-KAGEL CANYON,CA1910075,
LOS ANGELES CWWD 29 & 80-MALIBU,CA1910204,
LOS ANGELES CWWD 36-VAL VERDE,CA1910185,
LOS ANGELES CWWD 37-ACTON,CA1910248,
LOS ANGELES CWWD 40 REG 4 & 34 LANCASTER,CA1910070,
"LOS ANGELES CWWD 40, R 24,27,33-PEARBLSM",CA1910203,
"LOS ANGELES CWWD 40, REG. 38-LAKE LA",CA1910005,
"LOS ANGELES-CITY, DEPT. OF WATER & POWER",CA1910067,
"LYNWOOD-CITY, WATER DEPT.",CA1910079,
"MANHATTAN BEACH-CITY, WATER DEPT.",CA1910083,
MARYGOLD MWC,CA3610028,
MAYWOOD MUTUAL WATER CO. #1,CA1910084,
MAYWOOD MUTUAL WATER CO. #2,CA1910085,
METROPOLITAN WATER DIST. OF SO. CAL.,CA1910087,
MIREVAL IMPROVEMENT ASSOCIATION,CA4300741,
MOJAVE PUD,CA1510014,
MONTE VISTA WD,CA3610029,
MONTECITO WATER DIST,CA4210007,
MORRO BAY PW DEPT - WATER DIVISION,CA4010011,
MOULTON NIGUEL WATER DISTRICT,CA3010073,
MOUNTAIN SPRINGS MUTUAL WATER COMPANY,CA4300740,
