cws_ID,cws_name,type,dist_system_class,max_treatment_class,principal_county_served,primary_water_source_type,project_water,lat,long,within_legalDelta,latitude,longitude,in_legal_delta,final_lat,final_long
CA0701706,LOS VAQUEROS MARINA BLDG,NC,D1,T2,CONTRA COSTA,SW,SWP,37.8088471,-121.7485802,NA,NA,NA,NA,37.8088471,-121.7485802
CA0701707,LOS VAQUEROS INTERPRETIVE CENTER,NC,D1,T2,CONTRA COSTA,SW,SWP,37.8470105,-121.7253647,NA,NA,NA,NA,37.8470105,-121.7253647
CA0706004,OAKLEY MUTUAL WATER COMPANY,C,D1,TD,CONTRA COSTA,GW,Neither,NA,NA,NA,37.99023956,-121.6243931,TRUE,37.99023956,-121.6243931
CA0706005,FARRAR PARK PROPERTY OWNERS,C,D1,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,38.01401216,-121.6384806,TRUE,38.01401216,-121.6384806
CA0706018,CRUISER HAVEN MARINA,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0706022,BYRON UNITED METHODIST,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0706028,KNIGHTSEN ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0706029,EXCELSIOR MIDDLE SCHOOL,NTNC,D1,TD,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0706030,NEW LIFE MARINA,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0706031,COUNTRY JUNCTION DELI,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0706032,BETHEL MISSIONARY BAPTIST,NC,NR,T1,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0706034,HOLLAND RIVERSIDE MARINA,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0706037,BETHEL BAPTIST CHURCH,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0706045,WAHL FAMILY WATER SYSTEM,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0706049,BYRON ROADHOUSE,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0706050,WILLOW PASS BUSSINESS PARK WATER SYSTEM,NTNC,D1,TD,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0706054,BETHEL MARKET,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0706056,DELTA SPORTSMAN,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0706059,GAS N SAVE,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0706102,BAY STANDARDS,NTNC,D1,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0706110,BYRON AIRPORT,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0706111,EBRPD LITTLE HILLS,NC,D1,TD,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0706112,EBRPD ROUND VALLEY WATER SYSTEM,NC,D1,TD,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0707501,ANGLER S RANCH #3,C,D1,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,38.02212082,-121.6568978,TRUE,38.02212082,-121.6568978
CA0707502,EBRPD BLACK DIAMOND MINES,NC,D1,TD,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0707503,BETHEL HARBOR,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0707507,WILLOW PARK MARINA,C,D1,TD,CONTRA COSTA,GW,Neither,NA,NA,NA,38.00828958,-121.6309893,TRUE,38.00828958,-121.6309893
CA0707509,DELTA BAR AND GRILL,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0707517,COLONIA SANTA MARIA,C,D1,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,37.90227381,-121.6895668,TRUE,37.90227381,-121.6895668
CA0707519,DUTCH SLOUGH WATER WORKS,C,D1,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,38.01174956,-121.6525776,TRUE,38.01174956,-121.6525776
CA0707521,BYRON CORNERS INC,NC,NR,T1,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0707523,BETHEL ISLAND ESTATES,C,D1,TD,CONTRA COSTA,GW,Neither,NA,NA,NA,38.01958177,-121.6140036,TRUE,38.01958177,-121.6140036
CA0707532,MCAVOY YACHT HARBOR,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0707534,BRENTWOOD MARINA,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0707542,CONCORD MT DIABLO TRAILRIDE ASSOC.,NC,D1,TD,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0707545,ORWOOD RESORT,C,D1,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,37.93873239,-121.6118352,TRUE,37.93873239,-121.6118352
CA0707547,KNIGHTSEN COMMUNITY WATER SYSTEM,C,D1,TD,CONTRA COSTA,GW,Neither,NA,NA,NA,37.97578562,-121.6653623,TRUE,37.97578562,-121.6653623
CA0707550,SUNSET MARINA,NC,NR,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
CA0707553,RIVERVIEW MOBILE HOME PARK,C,D1,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,38.02741006,-121.9205253,TRUE,38.02741006,-121.9205253
CA0707556,SANDMOUND MUTUAL,C,D1,There are no treatment plants,CONTRA COSTA,GW,Neither,NA,NA,NA,38.01150745,-121.6325874,TRUE,38.01150745,-121.6325874
CA0707564,MARIN FOOD SPECIALTIES,NC,D1,T1,CONTRA COSTA,GW,Neither,NA,NA,NA,NA,NA,NA,NA,NA
